T10,T11,lat,lon,insitu,date
21.37557185,19.18385756,19.47900009,90.83899689,25.39999962,2014-01-17
21.37557185,19.18385756,19.47900009,90.83899689,25.39999962,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.20000076,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.20000076,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.20000076,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.20000076,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.4762269,19.38168988,20.30800056,90.98999786,25.29999924,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
21.38048392,19.12852712,19.48200035,90.83699799,25.39999962,2014-01-18
